                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.71869,                 1.0381,                 1.3179,                0.84322,                0.89428,                0.87592,                 0.6901,                0.73272,                0.65977,                 1.3973,               0.070049,              0.0033279,              0.0033279
                      1,                0.74747,                0.81407,                 1.3163,                 0.7501,                 0.7639,                0.78642,                0.53836,                 1.0336,                 1.0008,                 1.6894,               0.039719,              0.0063315,              0.0063315
                      2,                0.87413,                0.93876,                 1.3964,                0.65399,                0.62811,                0.62291,                0.38752,                 1.2089,                 1.3778,                 1.9025,              0.0090597,              0.0090051,              0.0090051
                      3,                 0.9172,                  0.975,                 1.4203,                0.81405,                0.83037,                0.83702,                0.61483,                0.89021,                 0.7919,                 1.5453,               0.008515,               0.008515,               0.008515
                      4,                 0.8517,                0.88464,                 1.3728,                0.83364,                0.89109,                0.85776,                0.64984,                0.84283,                0.69525,                 1.5023,               0.008515,               0.008515,               0.008515
                      5,                0.80493,                0.82895,                 1.3385,                0.84895,                0.87801,                0.87092,                0.68262,                0.74435,                0.66038,                 1.3886,                0.00802,                0.00802,                0.00802
                      6,                0.77187,                 0.7908,                 1.3137,                0.85346,                0.90286,                0.87517,                0.71564,                0.67915,                0.58628,                 1.3135,               0.007525,               0.007525,               0.007525
                      7,                0.74105,                0.75871,                 1.2925,                0.85807,                0.91893,                0.88263,                0.72657,                0.65962,                0.55939,                 1.2946,                0.00703,                0.00703,                0.00703
                      8,                0.72388,                0.73285,                 1.2809,                0.86512,                0.92452,                0.89076,                0.74945,                0.61711,                0.53256,                 1.2354,               0.006535,               0.006535,               0.006535
                      9,                0.69926,                0.71486,                 1.2638,                0.86522,                 0.9277,                0.89574,                0.76464,                0.58909,                0.50651,                 1.2232,                0.00604,                0.00604,                0.00604
                     10,                0.68921,                0.69366,                  1.255,                 0.8718,                0.92763,                0.89304,                0.77152,                0.56788,                0.50125,                 1.1982,               0.005545,               0.005545,               0.005545
                     11,                0.67045,                0.67924,                 1.2417,                0.86783,                0.94191,                0.89534,                0.77717,                0.55432,                0.48754,                 1.1816,                0.00505,                0.00505,                0.00505
                     12,                0.65898,                0.66472,                 1.2361,                0.87738,                0.93599,                0.89906,                0.78603,                0.53448,                0.47751,                  1.164,               0.004555,               0.004555,               0.004555
                     13,                0.64141,                0.64886,                 1.2264,                0.88083,                0.94176,                0.89848,                0.79244,                0.51509,                0.45874,                 1.1442,                0.00406,                0.00406,                0.00406
                     14,                0.62763,                0.63592,                 1.2151,                0.87299,                0.94933,                0.89865,                0.79322,                0.51753,                0.45401,                 1.1514,               0.003565,               0.003565,               0.003565
                     15,                0.61658,                 0.6199,                 1.2079,                0.86987,                0.95152,                0.89786,                0.79884,                0.49903,                0.44678,                 1.1281,                0.00307,                0.00307,                0.00307
                     16,                0.60818,                 0.6098,                 1.2003,                0.87556,                0.94921,                0.89885,                0.80195,                0.48753,                0.44076,                 1.1158,               0.002575,               0.002575,               0.002575
                     17,                0.58935,                0.59631,                 1.1892,                0.87509,                0.95334,                0.89865,                0.80382,                 0.4834,                0.43611,                 1.1089,                0.00208,                0.00208,                0.00208
                     18,                0.57704,                0.58433,                 1.1832,                0.87693,                0.95474,                 0.8981,                0.80501,                0.48192,                0.43256,                 1.1057,               0.001585,               0.001585,               0.001585
                     19,                0.56487,                0.57011,                 1.1743,                0.87626,                0.95421,                0.89822,                0.80777,                0.47465,                0.43004,                 1.0989,                0.00109,                0.00109,                0.00109
